"arret_code","arret_nom","n_collisions"
"CYDN01","Chancy-Douane",3
"DANC00","Dancet",3
"DJST","Dépôt Jonction (ST)",3
"EDVA00","Vallet",3
"ESTR01","Essertines",3
"FAVR02","Place Favre",3
"FOLN00","Foulon",3
"FONT02","Fontenette",3
"FORU01","Forumeyrin",3
"FRET00","Fret",3
"GALI01","Gaillard-Libération",3
"GAMI01","Gaillard-Millet",3
"GCHH01","Genève-Champel-Gare/Hôpital",3
"GCHH03","Genève-Champel-Gare/Hôpital",3
"GEBE00","Genthod-Bellevue-Gare",3
"GLAI01","Galaise",3
"GLOU01","Galeries du Loup",3
"GRES00","Grésy",3
"GRVI01","Meyrin-Gravière",3
"GSMA00","Grand-Saconnex-Mairie",3
"GTVI00","Genthod-Village",3
"GXGC01","Gex-Charpak",3
"GYBA00","Baraque-à-Cloud",3
"GYPO01","Gy-Poste",3
"HTOU03","Hôpital de La Tour",3
"ICC00","ICC",3
"INDE00","Coq-d'Inde",3
"JALP00","Jardin-Alpin-Vivarium",3
"JALP04","Jardin-Alpin-Vivarium",3
"JBRT00","Berthet",3
"JLIM02","Joli-Mont",3
"JMON01","Saint-Genis-Jean Monnet",3
"JOCT09","Jonction",3
"JUMR00","Jussy-Meurets",3
"JUPL01","Jussy-Place",3
"LADO00","La Donzelle",3
"LAPR01","Lancy-Pont-Rouge-Gare",3
"LAVI01","Laconnex-Village",3
"LOUR00","La Loure",3
"LQUI01","Les Quibières",3
"LULY05","Lully-Croisée",3
"MAIX00","Maisonnex",3
"MALA00","Malagnou",3
"MANU02","Manufactures",3
"MARB00","Les Marbriers",3
"MARB01","Les Marbriers",3
"MARG01","Marguerite",3
"MAZE01","Mazettes",3
"MCON01","Maconnex-Arcades",3
"MEMA00","Meyrin-Mairie",3
"MERV00","Mervelet",3
"MIRE01","Miremont",3
"MOIL01","Moillesulaz",3
"MONT02","Annemasse-Parc Montessuit",3
"NATI96","Nations",3
"ONEX03","Onex-Salle communale",3
"OXFR00","Ornex-Fruitière",3
"PAGN01","Thoiry-Place d'Allemogne",3
"PBOC00","Pont-Bochet",3
"PLPA96","Plainpalais",3
"PNEF00","Place de Neuve (fictif)",3
"POCH01","Port Choiseul",3
"PONT02","Pontets",3
"PPOL00","Pré-Polly",3
"PR4701","Grand-Saconnex, P+R",3
"PRBE03","Bernex-P+R",3
"PRLA00","La Pralay",3
"PRPI00","Pré-Picot",3
"PSIE00","Pont de Sierne",3
"PTLA01","Petit-Lancy-Place",3
"PXPO00","Palexpo",3
"REVE00","Reverdin",3
"RIPP00","Rippaz",3
"RSMA00","Collonge-Bellerive, Pré-d'Orsat",3
"SCLO01","Sainte-Clotilde",3
"SEUJ00","Seujet",3
"SEYM01","Seymaz",3
"SRMA00","Soral, Faubourg",3
"SVEY03","Vessy-Stand de tir",3
"SYGA01","Satigny-Gare",3
"UNIM00","Uni-Mail",3
"VAND00","Vandoeuvres-Village",3
"VATH01","Thoiry-Centre commercial",3
"VELO00","Vélodrome",3
"VEVI02","Vernier-Village",3
"VIDO00","Vidollet",3
"VIDO01","Vidollet",3
"VIDO03","Vidollet",3
"VRMT00","Vermont",3
"VRNT01","Vernets",3
"VROT00","Veyrot",3
"VTRN02","Veyrier-Tournettes",3
"VVRA00","Valavran",3
"ZIPL02","ZIPLO",3
"AAIN03","Avenue de l'Ain",2
"ACLP00","Avusy-Creux-du-Loup",2
"AIVI01","Aire-la-Ville-Centre",2
"AJEN00","Jeandin",2
"ALEC01","Avully-Ecole",2
"ARIA00","Genève, Ariana",2
"ATHE01","Athénée",2
"ATPA04","Athenaz-Passeiry",2
"AUBE01","Aubépine",2
"AUGS98","Augustins",2
"AVPP01","Aire-la-Ville-Pont-de-Peney",2
"AVSY00","Avusy-Village",2
